member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BR0130,P110004,P100005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0131,P100005,P110006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0132,P110005,P100006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0133,P110000,P120001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0134,P120000,P110001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0135,P110001,P120002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0136,P120001,P110002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0137,P110002,P120003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0138,P120002,P110003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0139,P110003,P120004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0140,P120003,P110004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0141,P110004,P120005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0142,P120004,P110005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0143,P110005,P120006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0144,P120005,P110006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
